ID_ALUNO;ID_SALA_ALOCADA;ID_ESCOLA;ETAPA_DESEJADA;ETAPA_OFERECIDA;DISTANCIA_KM;CUSTO_TOTAL
22775;447;300;6;6;13700.43;13.70
22776;138;40;9;9;14122.07;14.12
22777;99;80;1;1;7232.32;7.23
22778;561;55;7;7;15795.03;15.80
22779;250;85;13;13;1949.91;1.95
22780;80;201;3;3;7594.01;7.59
22781;774;105;2;2;10722.05;10.72
22782;3;94;8;8;14684.94;14.68
22783;538;328;9;9;17184.18;17.18
22784;825;391;4;4;10580.01;10.58
22785;287;336;2;2;7183.37;7.18
22786;717;401;8;8;3908.52;3.91
22787;-1;NA;10;NA;0.00;100.00
22788;463;429;3;3;10468.63;10.47
22789;-1;NA;6;NA;0.00;100.00
22790;86;410;1;1;7192.88;7.19
22791;502;47;11;11;18846.99;18.85
22792;197;40;4;4;16170.92;16.17
22793;886;194;13;13;3440.56;3.44
22794;688;363;11;11;7206.82;7.21
22795;589;34;6;6;10978.45;10.98
22796;889;69;2;2;4811.15;4.81
22797;150;397;4;4;5158.23;5.16
22798;481;229;5;5;4714.66;4.71
22799;973;379;3;3;6841.16;6.84
22800;238;162;2;2;4187.68;4.19
22801;-1;NA;9;NA;0.00;100.00
22802;188;151;7;7;11650.90;11.65
22803;415;340;7;7;15924.77;15.92
22804;340;187;1;1;7592.52;7.59
22805;875;489;7;7;19656.84;19.66
22806;488;443;8;8;12671.22;12.67
22807;934;362;8;8;15500.54;15.50
22808;527;76;8;8;10355.27;10.36
22809;822;49;4;4;18323.52;18.32
22810;927;381;12;12;18147.78;18.15
22811;134;453;4;4;18378.37;18.38
22812;741;458;7;7;10086.99;10.09
22813;194;367;9;9;5802.54;5.80
22814;167;477;9;9;4582.38;4.58
22815;411;98;6;6;13053.93;13.05
22816;241;205;2;2;8520.89;8.52
22817;854;457;5;5;4670.01;4.67
22818;795;97;7;7;7884.10;7.88
22819;597;191;4;4;2737.75;2.74
22820;938;300;1;1;5530.62;5.53
22821;429;231;12;12;6768.21;6.77
22822;636;414;10;10;3783.29;3.78
22823;658;25;9;9;16659.03;16.66
22824;661;117;13;13;15649.37;15.65
22825;198;278;1;1;7611.52;7.61
22826;356;460;6;6;6353.72;6.35
22827;147;117;10;10;18441.18;18.44
22828;692;184;7;7;999.63;1.00
22829;212;404;11;11;5701.14;5.70
22830;358;418;12;12;6768.38;6.77
22831;849;35;13;13;8832.74;8.83
22832;976;497;5;5;13422.42;13.42
22833;661;117;13;13;18920.45;18.92
22834;932;172;9;9;12042.80;12.04
22835;6;58;3;3;12144.39;12.14
22836;353;236;1;1;6900.80;6.90
22837;240;448;13;13;1077.74;1.08
22838;671;387;11;11;4207.38;4.21
22839;-1;NA;12;NA;0.00;100.00
22840;125;378;3;3;5063.94;5.06
22841;332;234;1;1;14860.64;14.86
22842;528;364;3;3;10405.59;10.41
22843;-1;NA;12;NA;0.00;100.00
22844;185;423;12;12;7951.21;7.95
22845;-1;NA;11;NA;0.00;100.00
22846;497;168;13;13;7801.26;7.80
22847;834;273;3;3;8761.38;8.76
22848;724;312;6;6;6209.83;6.21
22849;381;445;9;9;7673.83;7.67
22850;328;41;2;2;10320.63;10.32
22851;878;238;8;8;2357.24;2.36
22852;11;429;1;1;3764.65;3.76
22853;242;27;9;9;4919.11;4.92
22854;624;24;5;5;1359.42;1.36
22855;199;342;5;5;11954.20;11.95
22856;4;173;4;4;8722.78;8.72
22857;163;101;1;1;7579.99;7.58
22858;403;368;5;5;8947.20;8.95
22859;850;479;12;12;9997.22;10.00
22860;91;114;7;7;7306.62;7.31
22861;662;99;1;1;11501.14;11.50
22862;386;370;4;4;9508.92;9.51
22863;523;233;10;10;8983.46;8.98
22864;419;51;1;1;14367.60;14.37
22865;320;246;6;6;7758.80;7.76
22866;437;116;11;11;10873.46;10.87
22867;426;466;11;11;2561.50;2.56
22868;128;232;1;1;15030.74;15.03
22869;-1;NA;2;NA;0.00;100.00
22870;524;402;1;1;6797.70;6.80
22871;872;127;10;10;2582.28;2.58
22872;981;364;2;2;11658.89;11.66
22873;172;130;2;2;8092.88;8.09
22874;950;461;7;7;8295.25;8.30
22875;431;40;1;1;12598.56;12.60
